,Unnamed: 0,NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project
418,418,419.   ,Surfacing of Kay Billie Klaer Street (Chainage 0+350-0+450) Ayawaso West Wuogon,Ayawaso West,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"48,367.72",IGF,Completed
430,430,431.   ,Surfacing of Kay Billie Klaer Street (Chainage 0+575-0+700)- Ayawaso West Wuogon,Ayawaso West,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",10 Months,"49,641.25",Road Fund,Completed
432,432,433.   ,Surfacing works along Bonsu road- Accra Newtown (Chainage 0+300-0+430),Alajo,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"48,599.20",Road Fund,Completed
433,433,434.   ,"Gravelling works on outer ring road extension, Mamprobi-Ablekuma South(Chainage 0+000-0+250)",Mamprobi,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"48,825.00",Road Fund,Completed
434,434,435.   ,"Gravelling works on outer ring road extension, Mamprobi-Ablekuma South(Chainage 0+250-0+510)",Mamprobi,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"41,909.00",Road Fund,Completed
436,436,437.   ,Surfacing of Trackor Street (Chainage 0+650-0+780) and link Okaikoi North,Okaikoi North,Messrs Salleydeen Co. Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"49,999.37",Road Fund,Completed
437,437,438.   ,Surfacing of Trackor Street (Chainage 1+100-1+196) and link Okaikoi North,Okaikoi North,Messrs Navacon Co. Ltd,Metro Roads Department,"Friday, October 14, 2016",9 Months,"49,584.12",Road Fund,Completed
439,439,440.   ,Surfacing of Trackor Street (Chainage 0+975-1+100) and link Okaikoi North,Okaikoi North,Messrs Rozzare. Ltd,Metro Roads Department,"Friday, November 14, 2003",10 Months,"49,534.12",Road Fund,Completed
442,442,443.   ,Surfacing of Trackor Street (Chainage 0+390-0+520) and link Okaikoi North,Okaikoi North,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, December 13, 2010",3 Months,"49,999.37",Road Fund,Completed
443,443,444.   ,Surfacing of Trackor Street (Chainage 0+520-0+650) and link Okaikoi North,Okaikoi North,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, July 14, 1930",3 Months,"49,999.37",Road Fund,Completed
505,505,506.   ,Surfacing works on Tesano Royal Garden Link Road (Chainage 0+000-0+250),Tesano,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, September 13, 2021","Sunday, September 14, 2003","5,263,184.92",GOG,Completed
507,507,508.   ,Surfacing Works on Tesano Royal Garden Link Road (Chainage 0+250-0+500),Tesano,Messrs Mustek Engineering Ltd,Metro Roads Department,"Saturday, January 13, 2018","Sunday, March 13, 2005","49,400.26",Road Fund,Completed
513,513,514.   ,Surfacing Works on Pear Street-East Legon (Chainage 0+000-180),East Legon,Messrs Mustek Engineering Company Limited,Metro Roads Department,"Monday, August 13, 2001",3  Months,"45,761.20",Road Fund,Completed
531,531,532.   ,Surfacing on Lily Street - East Legon(Chainage 0+000-0+160),East Legon,Messrs Nakia Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"48,333.83",Road Fund,Completed
532,532,533.   ,Surfacing work on Oleader Lane - East Legon (Chainage 0+000-0+200),East Legon,Messrs  Nakia Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"49,731.10",Road Fund,Completed
533,533,534.   ,Surfacing work on Lily Street Lane - East Legon (Chainage 0+000-0+160),East Legon,Messrs  Nakia Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"48,333.83",Road Fund,Completed
534,534,535.   ,Surfacing work on Oleader Lane - East Legon (Chainage 0+000-0+425),East Legon,Messrs  Nakia Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"48,333.83",Road Fund,Completed
535,535,536.   ,Surfacing work on Habiscus Street - East Legon (Chainage 0+000-0+180),East Legon,Messrs  Nakia Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"49,785.40",Road Fund,Completed
536,536,537.   ,Surfacing work on Lilly Street - East Legon (Chainage 0+000-0+320),East Legon,Messrs  Tecbuildtel Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"48,333.83",Road Fund,Completed
537,537,538.   ,Surfacing work on Oleader Lane - East Legon (Chainage 0+000-0+320),East Legon,Messrs  Nakia Company Limited,Metro Roads Department,"Saturday, April 13, 2002",3 Months,"48,333.83",Road Fund,Completed
538,538,539.   ,Surfacing work on Papao Road – West Legon (Chainage 0+000-0+200),West Legon,Messrs Henkoq Ventures Limited,Metro Roads Department,"Monday, November 12, 2029",3 Months,"49,503.80",Road Fund,Completed
539,539,540.   ,Surfacing works along Abetsewe Loop-Okaikoi South (Chainage 0000-0+100),North Kaneshie,Messrs Benfipiah Company Limited,Metro Roads Department,"Thursday, October 13, 2022","Monday, May 14, 2001","33,472.90",Road Fund,Completed
540,540,541.   ,Surfacing works on Wuo Street (Chainage 0+180-0+360)- Ablekuma North,Dansoman,Messrs Cytemercy Enterprise,Metro Roads Department,"Wednesday, October 13, 2021","Thursday, April 14, 2022","48,789.95",Road Fund,Completed
541,541,542.   ,Surfacing works on Wuo Street (Chainage 0+000-0+180)- Ablekuma North,Dansoman,Messrs Cytemercy Enterprise,Metro Roads Department,"Wednesday, October 13, 2021","Thursday, April 14, 2022","48,789.95",Road Fund,Completed
543,543,544.   ,Gravelling works on Adoley Abla street (Chainage 0+150-0+300) Ablekuma Central,Sukura,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Monday, February 15, 2010","48,038.75",Road Fund,Completed
544,544,545.   ,Gravelling works on Naa Amonoa Street  (Chainage 0+390-0+520) Ablekuma Central,Zamlama Line,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Monday, February 15, 2010","49,330.25",Road Fund,Completed
545,545,546.   ,Gravelling works on Adoley Abla street (Chainage 0+150-0+300) Ablekuma Central,Sukura,Messrs Quakor Limited,Metro Roads Department,"Wednesday, March 14, 2012","Tuesday, September 15, 2020","46,807.10",Road Fund,Completed
546,546,547.   ,Filling works on Nii Adu Link Glefe (Chainage 0+575-0+0+700) – Ablekuma South  ,Glefe,Messrs  Collosal Ventures,Metro Roads Department,"Saturday, December 14, 2019","Tuesday, May 15, 2029","48,723.40",Road Fund,Completed
558,558,559.   ,Filling works on Nii Adu Link Glefe (Chainage 0+700-0+775) – Ablekuma South,Glefe,Messrs Collosal Ventures,Metro Roads Department,"Saturday, December 14, 2019","Tuesday, May 15, 2029","45,970.60",Road Fund,Completed
559,559,560.   ,"Cutting of unsuitable  material on Nii Adu Link, Glefe (Chainage 0+000-0+450)",Glefe,Messrs Collosal  ventures,Metro Roads Department,"Friday, December 14, 2018","Sunday, April 15, 2012","49,525.00",Road Fund,Completed
560,560,561.   ,"Cutting of unsuitable  material on Nii Adu Link, Glefe (Chainage 0+450-0+850)",Glefe,Messrs Collosal  ventures,Metro Roads Department,"Friday, December 14, 2018","Sunday, April 15, 2012","49,525.00",Road Fund,Completed
561,561,562.   ,Filling works on Nii Adu Link Glefe (Chainage 0+775-0+867) – Ablekuma South,Glefe,Messrs Collosal  ventures,Metro Roads Department,"Saturday, December 14, 2019","Sunday, April 15, 2029","47,302.60",Road Fund,Completed
562,562,563.   ,Gravelling works on 1st Chemu Link road – Ablekuma South (Chainage 0+000-0+350),Mamprobi,Messrs  Umar Babi Enterprise,Metro Roads Department,-,-,"49,801.44",Road Fund,Completed
563,563,564.   ,Gravelling works on 5th Damba Street – Ablekuma South (Chainage 0+000-0+375),Dansoman,Messrs  Umar Babi Enterprise,Metro Roads Department,-,-,"46,973.00",Road Fund,Completed
564,564,565.   ,Gravelling works along Wesley Grammar (Chainage 0+500-0+650) – Ablekuma South,Dansoman,Messrs Umar Babi Enterprise,Metro Roads Department,-,-,"22,525.00",Road Fund,Completed
565,565,566.   ,Filling works on Nii Adu Link Glefe (Chainage 0+500-0+750) – Ablekuma  South,Glefe,Messrs Umar Babi Enterprise,Metro Roads Department,"Friday, December 14, 2018","Sunday, April 15, 2012","49,345.00",Road Fund,Completed
566,566,567.   ,Filling works on Nii Adu Link Glefe (Chainage 0+000-0+250)  - Ablekuma South,Glefe,Messrs Umar Babi Enterprise,Metro Roads Department,"Friday, December 14, 2018","Saturday, April 14, 2012","49,345.00",Road Fund,Completed
567,567,568.   ,Filling works on Nii Adu Link Glefe (Chainage 0+250-0+500) – Ablekuma South,Glefe,Messrs Umar Babi Enterprise,Metro Roads Department,"Friday, December 14, 2018","Sunday, April 15, 2012","49,345.00",Road Fund,Completed
573,573,574.   ,"Paving Work at Laterbiokorshie Phase 2 (Chainage 0+105-0+210) – Ablekuma Central, Contract No. AMRD/PM/PQ/VOL.5/2014/185",Laterbiokorshie,Messrs Le-Lac Investment Co. Ltd,Metro Roads Department,"Thursday, September 14, 2028","Saturday, March 15, 2008","49,866.00",Road Fund,Completed
574,574,575.   ,"Paving Work at Laterbiokorshie Phase 1 (Chainage 0+000-0+105) Ablekuma Central, Contract No. AMRD/PM/PQ/Vol.5/2014/186",Latebiokorshie,Messrs Galoni Ventures,Metro Roads Department,"Monday, September 14, 2026","Tuesday, March 15, 2005","49,586.00",Road Fund,Completed
575,575,576.   ,Gravelling Works Along Mampong Okai  Street (Chainage 0+350-0+700) – Ablekuma  South,Dansoman,Messrs Mbanba Construction,Metro Roads Department,"Sunday, March 14, 2027","Monday, August 14, 2006","49,081.40",Road Fund,Completed
579,579,580.   ,Surfacing of Manu  Avenue  West Legon (Chainage 0+280-0+370)- Ayawaso West Wuogon Contract No : AMRD/PM/PQ/VOL.5/2014/098,West Legon,Messrs Amandarich  Enterprise,Metro Roads Department,"Friday, December 14, 2018","Friday, January 15, 2021","33,002.97",Road Fund,Completed
580,580,581.   ,"Surfacing of 1st Baiden avenue west Legon  (Chainage 0+500-0+545) – Ayawaso west  wuogon,Contract no:  AMRD/PM/PQ/VOL.7/2014/147",West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Friday, December 14, 2018","Monday, July 15, 2024","20,199.88",Road Fund,Completed
581,581,582.   ,Gravelling Works on Opetekwei Maame Street-Ablekuma South (Chainage 0+000-0+200),Ablekuma South,Messrs Movavi Limited,Metro Roads Department,"Sunday, May 13, 2029","Tuesday, March 14, 2028","49,725.00",Road Fund,Completed
582,582,583.   ,Gravelling of Ivy Street Dansoman- Ablekuma South (Chainage 0+425-0+850),Ablekuma South,Messrs Movavi Limited,Metro Roads Department,"Wednesday, October 13, 2021","Tuesday, March 14, 2028","49,488.80",Road Fund,Completed
583,583,584.   ,Gravelling woks on Nii Abbey Link Road (Chainage 0+000-0+150) and Asafoatse Lankai (200M) Ablekuma North,Ablekuma North,Messrs Zimmah Enterprise Limted,Metro Roads Department,"Friday, December 14, 2018","Friday, April 15, 2022","46,617.31",Road Fund,Completed
584,584,585.   ,Surfacing of Baiden Avenue West Legon  (Chainage 0+000-0+170) – Ayawaso west  wuogon Contract No: AMRD/PM/PQ/VOL.5/2014/001,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2021","49,393.05",Road Fund,Completed
585,585,586.   ,Surfacing of 1st Baiden Avenue West Legon  (Chainage 0+375-0+500) – Ayawaso West  Wuogon Contract no:  AMRD/PM/PQ/VOL.7/2014/147,West Legon,Messrs Amandarich  Enterprise,Metro Roads Department,"Friday, December 14, 2018","Monday, July 15, 2024","47,615.59",Road Fund,Completed
586,586,587.   ,Surfacing of 2nd Baiden avenue west Legon  (Chainage  0+000-0+125) – Ayawaso west wuogon Contract no: AMRD/PM/PQ/VOL.5/2014/005,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2021","49,618.00",Road Fund,Completed
587,587,588.   ,Surfacing of 1st Baiden Avenue West Legon (Chainage 0+000-0+125) – Ayawaso West  Wuogon Contract no: AMRD/PM/PQ/VOL.5/2014/002,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2021","49,618.00",Road Fund,Completed
588,588,589.   ,Surfacing of 2nd Baiden Avenue West Legon  (Chainage 0+125-0+240) –Ayawaso West Contract no: AMRD/PM/PQ/ VOL.5/2014/006,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2021","46,622.00",Road Fund,Completed
589,589,590.   ,Surfacing of 1st Baiden Avenue West Legon (Chainage 0+250-0+375) – Ayawaso West  Wuogon Contract no: AMRD/PM/PQ/VOL.5/2014/004,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Thursday, July 14, 2016","49,618.00",Road Fund,Completed
590,590,591.   ,Surfacing of 1st Baiden  Avenue West Legon (Chainage 0+500-0+545) – Ayawaso West Wuogon Contract No: AMRD/PM/PQ/VOL. 7/2014/146,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Friday, December 14, 2018","Monday, July 15, 2024","20,199.88",Road Fund,Completed
595,595,596.   ,Gravelling work on Fanaa Crescent Street (Chainage 0+000-0+220) and Lane (80M) – Ablekuma South,Dansoman,Messrs Dapore Ventures,Metro Roads Department,"Monday, September 14, 2026","Monday, March 15, 2010","48,599.25",Road Fund,Completed
596,596,597.   ,Gravelling works on Alogboshie Main road (Chainage 0+000-0+180) Contract No: AMRD/PM/PQ/VOL.3/201/128,Alogboshie,Messrs Lomenf Co. Ltd,Metro Roads Department,"Friday, June 14, 2024","Monday, January 15, 2001","38,059.34",Road Fund,Completed
597,597,598.   ,Gravelling works on Alogboshie Main road  (Chainage 0+600-0+900) Contract no: AMRD/PM/PQ/VOL.3/2014/130,Alogboshie,Messrs Lomenf Co. Ltd,Metro Roads Department,"Friday, June 14, 2024","Monday, January 15, 2001","49,860.50",Road Fund,Completed
598,598,599.   ,Gravelling work on Alogboshie Main Road (Chainage 0+300-0+600) AMRD/PM/PQ/VOL.3/2014/129,Alogboshie,Messrs Lomenf Co. Ltd,Metro Roads Department,"Friday, June 14, 2024","Monday, January 15, 2001","49,860.50",Road Fund,Completed
599,599,600.   ,Gravelling work on Alogboshie Main Road (Chainage 0+000-0+300),Abofu,Messrs Lomenf Co. Ltd,Metro Roads Department,"Friday, June 14, 2024","Monday, January 15, 2001","49,860.50",Road Fund,Completed
600,600,601.   ,Gravelling work on Agyeman/Frimpong Street Sabon Zongo (Chainage 0+150-0+280) – Ablekuma Central,Sabon Zongo,Messrs Salleydeen Company Limited,Metro Roads Department,"Monday, September 14, 2026","Friday, February 15, 2013","49,626.76",Road Fund,Completed
601,601,602.   ,Gravelling work on Agyeman/Frimpong Street Sabon Zongo (Chainage 0+000-0+150) – Ablekuma Central,Sabon Zongo,Messrs Salleydeen Company Limited,Metro Roads Department,"Monday, September 14, 2026","Friday, February 15, 2013","47,171.64",Road Fund,Completed
603,603,604.   ,Gravelling works on Pentecost Road Mempeasem Area (Chainage 0+000-0+300)Ayawaso West,Pentecost Road,Messrs Kin-Aimaz Company Ltd,Metro Roads Department,"Thursday, April 14, 2016","Saturday, May 14, 2016","49,761.00",Road Fund,Completed
604,604,605.   ,Gravelling works on Trinity Road-Mempeasem (Chainage 0+350-0+625) AMRD/LA/VOL.2/14/PM/029,Mempeasem,Messrs Shamma Rohi Ltd,Metro Roads Department,"Tuesday, March 14, 2017",3 Months,"44,211.50",Road Fund,Completed
611,611,612.   ,Surfacing works on Kotopon Street (Chainage 0+560-0+700) Okaikoi South,Okaikoi South,Messrs Ansema Ghana Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Months,"49,866.01",Road Fund,Completed
613,613,614.   ,Surfacing works on Kotopon Street (Chainage 0+280-0+420) Okaikoi South,Okaikoi South,Messrs Ansema Ghana Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Months,"49,866.01",Road Fund,Completed
616,616,617.   ,Surfacing works on Kotopon Street  (Chainage 0+000-0+140) Okaikoi South,Okaikoi South,Messrs Ansema Ghana Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Months,"49,866.01",Road Fund,Completed
617,617,618.   ,Surfacing works on Kotopon Street  (Chainage 0+420-0+560) Okaikoi South,Okaikoi South,Messrs Ansema Ghana Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Months,"49,866.01",Road Fund,Completed
618,618,619.   ,Surfacing works on Kotopon Street  (Chainage 0+140-0+280) Okaikoi South,Okaikoi South,Messrs Ansema Ghana Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Months,"49,866.01",Road Fund,Completed
620,620,621.   ,Gravelling works on Nii Boi Maclean- Dansoman(Chainage 0+000-0+450),Mamprobi,Messrs Tamdag,Metro Roads Department,"Friday, June 14, 2024",3 Months,"48,853.30",Road Fund,Completed
622,622,623.   ,Gravelling works Nii Amontia Street and Link. Okaikoi South (Chainage 0+300-0+600),Okaikoi South,Messrs Hoss Limited,Metro Roads Department,"Saturday, November 13, 2021",3 Months,"49,465.00",Road Fund,Completed
629,629,630.   ,Surfacing works on Kwaku Bani Street (Chainage 0+180-0+360),Ayawaso Central,Messrs Sasecom Ltd,Metro Roads Department,"Tuesday, April 14, 2026",3 Months,"42,851.04",Road Fund,Completed
630,630,631.   ,Surfacing works on Kwaku Bani Street (Chainage 0+000-0+180),Ayawaso Central,Messrs Sasecom Ltd,Metro Roads Department,"Tuesday, April 14, 2026",3 Months,"42,851.04",Road Fund,Completed
632,632,633  ,Resealing of Manu Avenue (Chainage 0365-0+596.1)-Ayawaso West Wuogon Contract No: AMRD/PM/PQ/VOL.7/2014/198,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Friday, December 14, 2018","Friday, January 15, 2021","33,002.97",Road Fund,Completed
636,636,637  ,Gravellig works along Nii Amontia Street and Link-Okaikoi South (Chainage 0+000-0+300),Bubuashie,Messrs Gub Kati Construction Works Limited,Metro Roads Department,"Sunday, May 13, 2029","Saturday, February 13, 2010","49,465.00",Road Fund,Completed
649,649,650  ,Surfacing works on Naa Atobia Street (Chainage 0+320-0+450) – Ablekuma North  ,Darkuman,Messrs Amby Limited,Metro Roads Department,"Sunday, November 13, 2005","Wednesday, May 14, 2003","41,402.63",Road Fund,Completed
650,650,651  ,Surfacing works on Gbawe Road (Chainage 0+520-650)-Ablekuma Central,Flamingo Area,Messrs intra Grid System / Syndicated Capital Finance,Metro Roads Department,"Thursday, July 14, 2016","Tuesday, December 14, 2004","49,239.82",Road Fund,Completed
653,653,654  ,Surfacing works on Naa Atobia Street (Chainage 0+160-0+320) – Ablekuma North  ,Darkuman,Messrs Amby Limited,Metro Roads Department,"Sunday, November 13, 2005","Wednesday, May 14, 2003","48,210.41",Road Fund,Completed
654,654,655  ,Surfacing works on Naa Atobia Street (Chainage 0+000-0+160) – Ablekuma North  ,Darkuman,Messrs Amby Limited,Metro Roads Department,"Sunday, November 13, 2005","Wednesday, May 14, 2003","48,210.41",Road Fund,Completed
656,656,657  ,Gravelling works along Abele Street (Chainage 0+000-0+360) Mallam Atta-Ayawaso Central,Accra New Town,Messrs Jeff-Kay Enterprise,Metro Roads Department,"Sunday, March 14, 2004","Saturday, July 14, 2001","45,804.00",Road Fund,Completed
657,657,658  ,Gravelling works along Abele Street (Chainage 0+000-0+330) Mallam Atta-Ayawaso Central,Accra New Town,Messrs Jeff-Kay Enterprise,Metro Roads Department,"Sunday, March 14, 2004","Saturday, July 14, 2001","45,804.00",Road Fund,Completed
662,662,663  ,Gravelling Work Naa Amanoa Street (Chainage 0+130-0+260 )- Ablekuma South,Zamlama Line,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Tuesday, December 14, 2010","49,330.25",Road Fund,Completed
663,663,664  ,Gravelling Works on Adolley Abla Street (Chainage 0+300-0+450 )- Ablekuma Central,Sukura,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Tuesday, December 14, 2010","49,338.75",Road Fund,Completed
664,664,665  ,Surfacing Nii Abbey Street –Darkuman (Chainage 0+240-0+360) – Ablekuma North,Darkuman,Messrs Saana Adams Company Limited,Metro Roads Department,"Monday, September 14, 2026","Saturday, September 15, 2012","49,965.80",Road Fund,Completed
665,665,666  ,Surfacing Nii Abbey Street –Darkuman (Chainage 0+480-0+600) – Ablekuma North,Darkuman,Messrs Saana Adams Company Limited,Metro Roads Department,"Monday, September 14, 2026","Saturday, September 15, 2012","49,965.80",Road Fund,Completed
666,666,667  ,Surfacing Nii Abbey Street –Darkuman (Chainage 0+360-0+480) – Ablekuma North,Darkuman,Messrs Saana Adams Company Limited,Metro Roads Department,"Monday, September 14, 2026","Saturday, September 15, 2012","49,965.80",Road Fund,Completed
667,667,668  ,Surfacing Nii Abbey Street –Darkuman (Chainage 0+120-0+240) – Ablekuma North,Darkuman,Messrs Saana Adams Company Limited,Metro Roads Department,"Monday, September 14, 2026","Saturday, September 15, 2012","49,965.80",Road Fund,Completed
668,668,669  ,Surfacing Nii Abbey Street –Darkuman (Chainage 0+000-0+120) – Ablekuma North,Darkuman,Messrs Saana Adams Company Limited,Metro Roads Department,"Monday, September 14, 2026","Saturday, September 15, 2012","49,965.80",Road Fund,Completed
669,669,670  ,Gravelling works on Adjiriganno 3rd Link  Road LHS (Chainage 0+000-0+250),East Legon,Messrs Jecsej Ventures Limited,Metro Roads Department,"Monday, September 14, 2026","Tuesday, February 15, 2011","49,973.75",Road Fund,Completed
677,677,678  ,Paving work at Laterbiokorshie Phase III (Chainage 0+210-0+230) & Roofing at AMRD Security Office Contract No: AMRD/PM/PQ/VOL.5/2014/188,Ablekuma South,Messrs Perjas Co. Ltd,Metro Roads Department,"Monday, September 14, 2026","Tuesday, March 15, 2005","39,795.50",Road Fund,Completed
678,678,679  ,Gravelling Works Naa Amanoa Street (Chainage 0+000-0+130 )- Ablekuma Central,Ablekuma Central,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Tuesday, December 14, 2010","49,330.25",Road Fund,Completed
680,680,681  ,Gravelling work on Avenue Link (Chainage 0+000-0+170 ) Ayawaso West Contract No: AMRD/PM/PQ/VOL./2014/0030,East Legon,Messrs Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Sunday, January 15, 2006","49,254.65",Road Fund,Completed
681,681,682  ,Gravelling Work Naa Amanoa Street (Chainage 0+520-0+575 )- Ablekuma South,Zamlama Line,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Tuesday, December 14, 2010","21,805.55",Road Fund,Completed
682,682,683  ,Gravelling Market Lane – Kum Hotel Area Roads (Chainage 0+715+770),NiiBoi Town,Messrs Glo Multi Company Limited,Metro Roads Department,"Sunday, February 14, 2021","Thursday, November 14, 2013","38,407.50",Road Fund,Completed
684,684,685  ,Gravelling Work on Sika Street (Chainage 0+000-0+150 )- Ablekuma South,Ablekuma south,Messrs Matrix Construction Company Limited,Metro Roads Department,"Thursday, July 14, 2016","Sunday, December 14, 1930","35,267.09",Road Fund,Completed
685,685,686  ,Gravelling Work on King Solomon Street (Chainage 0+180-0+360 )- Ablekuma South,Ablekuma south,Messrs Matrix Construction Company Limited,Metro Roads Department,"Thursday, July 14, 2016","Sunday, December 14, 1930","41,976.50",Road Fund,Completed
686,686,687  ,Gravelling Work Naa Amanoa Street (Chainage 0+260-0+390 )- Ablekuma South,Zamlama Line,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Tuesday, December 14, 2010","49,330.25",Road Fund,Completed
687,687,688  ,Construct of 1.20 pipe culvert at Adjirigannor Link Road (Chainage 0+000-0+010) Ayawaso West,East Legon,Messrs Precision “O” Enterprise,Metro Roads Department,"Friday, December 14, 2018","Monday, April 15, 2019","43,001.90",Road Fund,Completed
688,688,689  ,Gravelling of Nii Awuley Lartey Street (Chainage 0+000-0+400),Ablekuma North,Messrs Cee George Limited,Metro Roads Department,"Monday, April 14, 2003","Saturday, July 14, 2029","47,587.50",Road Fund,Completed
689,689,690  ,Gravelling works along Kwashie Ahiaku Street (Chainage 0+135-0+565),Ablekuma North,Messrs Cee George Limited,Metro Roads Department,"Monday, April 14, 2003","Saturday, July 14, 2029","49,983.50",Road Fund,Completed
690,690,691  ,Gravelling Works  on Twum Kpakpo Road B (Chainage 0+000-0+350 )- Ablekuma South,Ablekuma South,Messrs Matrix Construction Company Limited,Metro Roads Department,"Friday, December 14, 2018","Tuesday, July 15, 2008","41,976.50",Road Fund,Completed
691,691,692  ,Gravelling Works  on Twum Kpakpo Road A (Chainage 0+000-0+100 ) and Road B (Chainage 0+350-0+450) Ablekuma North,Ablekuma North,Messrs Dapore Ventures,Metro Roads Department,"Friday, December 14, 2018","Tuesday, July 15, 2008","33,265.75",Road Fund,Completed
692,692,693  ,Gravelling work on Outer Ring (Chainage 0+000+0+800)-Ablekuma South,Ablekuma South,Messrs Dapore Ventures,Metro Roads Department,"Monday, September 14, 2026","Monday, March 15, 2010","49,553.22",Road Fund,Completed
693,693,694  ,Cutting of Soft on Outer Ring RHS (Chainage 0+000-0+150) Ablekuma South,Ablekuma South,Messrs Dapore Ventures,Metro Roads Department,"Sunday, December 14, 2008","Monday, March 15, 2010","48,787.00",Road Fund,Completed
694,694,695  ,Gravelling work on Outer Ring (Chainage 0+240-0+320)-Ablekuma South,Ablekuma South,Messrs Dapore Ventures,Metro Roads Department,"Monday, September 14, 2026","Monday, March 15, 2010","49,553.22",Road Fund,Completed
695,695,696  ,Gravelling work on Outer Ring (Chainage 0+160+0+240)-Ablekuma South,Ablekuma South,Messrs Dapore Ventures,Metro Roads Department,"Monday, September 14, 2026","Monday, March 15, 2010","49,553.22",Road Fund,Completed
696,696,697  ,Gravelling work on Outer Ring (Chainage 0+320+0+400)-Ablekuma South,Ablekuma South,Messrs Dapore Ventures,Metro Roads Department,"Monday, September 14, 2026","Monday, March 15, 2010","49,553.22",Road Fund,Completed
697,697,698  ,Gravelling Works  Along King  Solomon  Street (Chainage 0+000-0+180 )- Ablekuma South,Ablekuma South,Messrs Matrix Construction Company Limited,Metro Roads Department,"Thursday, July 14, 2016","Sunday, December 14, 1930","41,976.50",Road Fund,Completed
699,699,700  ,Gravelling works on Morocco Street (Chainage 0+000-0+360) Ayawaso West  Contract no: AMRD/PM/PQ/VOL.7/2014/207,East Legon,Messrs Aniya Enterprise,Metro Roads Department,"Friday, December 14, 2018","Thursday, June 14, 2012","49,291.40",Road Fund,Completed
700,700,701  ,Gravelling of Adjirigannor link Road (Chainage 0+000-0300)-Ayawaso West AMRD/PM/PQ/VOL.3/2014/002,East Legon,Messrs Navacon Company Limited,Metro Roads Department,"Monday, April 14, 2014","Thursday, September 14, 2017","49,727.41",Road Fund,Completed
702,702,703  ,Gravelling works on Ofori Kpone Street  (Chainage 0+190-0+380),West Legon,Messrs Openya Construction Limited,Metro Roads Department,"Monday, September 14, 2026","Friday, April 15, 2005","49,710.38",Road Fund,Completed
703,703,704  ,Gravelling works on Ofori Kpone Street  (Chainage 0+250-0+335),West Legon,Messrs Openya Construction Limited,Metro Roads Department,"Monday, September 14, 2026","Friday, April 15, 2005","16,838.22",Road Fund,Completed
705,705,706  ,Surfacing works on Samir Street (Chainage 0+000-0+100) Adijiriganor Ayawaso West  Wuogon Contract No: AMRD/PM/PQ/ Vol.7/ 2014/182,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","49,452.00",Road Fund,Completed
