NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project,,,,,,,,,,,,,,,,
203.   ,Construction of Borehole at Obedru,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
204.   ,Construction of Borehole at Holy Family R/C Cluster of Schools,Ablekuma Central,-,-,-,-,"12,957.28",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
205.   ,Construction of Borehole at Awudome JHS,Okaikoi South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
206.   ,Construction of Borehole at Apenkwa Presby Cluster,Okaikoi North,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
207.   ,Construction of Borehole at JT Cluster,Ablekuma Central,-,-,-,-,"12,957.28",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
208.   ,Construction of Borehole at Town Council Line b/n Toilet 1 and Parliament,Ablekuma Central,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
209.   ,Construction of Borehole at Shalom/ Kwashieman Sanitary Site,Ablekuma North,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
210.   ,Construction of Borehole at Alogboshie Cluster of Schools,Okaikoi North,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
211.   ,Construction of Borehole at Ayalolo Cluster of Schools,Ayalolo,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
212.   ,Construction of Borehole at Kotobabi Down,Ayawaso Central,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
213.   ,Construction of Borehole at Adabraka Boundary Road Cluster of Schools,Osu Klottey,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
214.   ,Construction of Borehole at ASIP offices compound,Okaikoi South,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
215.   ,Construction of Borehole at ASIP Toilet Odorgonno Senior High School 10-Seater,Ablekuma North,-,-,-,-,"13,200.00",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
216.   ,Construction of Borehole at AMA Metro Guards Quarters – Osu,Osu Klottey,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
217.   ,Construction of Borehole at Osu Regal Nmletsu-Bu Street,Osu Klottey,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
218.   ,Construction of Borehole at Institute of Islamic Studies Basic School,Ayawaso East,-,-,-,-,"13,200.00",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
219.   ,Construction of Borehole at La Bawaleshie Presby Cluster,Ayawaso West,-,-,-,-,"13,200.00",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
220.   ,Construction of Borehole at Abelenkpe JHS,Ayawaso West,-,-,-,-,"13,200.00",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
221.   ,Construction of Borehole at Pig Farm Prim. & JHS,Ayawaso East,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
222.   ,Construction of Borehole at Kanda Cluster of Schools,Ayawaso East,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
223.   ,Construction of Borehole at John Wesley Methodist Schools,Ashiedu Keteke,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
224.   ,Construction of Borehole at Pte. Odartey Lamptey Cluster,Ashiedu Keteke Odartey Lamptey,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
225.   ,"Construction of 1,500 liter Capacity Mechanized Borehole for Korle Gonno Communit",Korle-Gonno,-,-,-,-,-,GAMA-SWP,Completed,,,,,,,,,,,,,,,,
226.   ,Provision of HouseHold Toilet Facilities,"Glefe, Chorkor, Gbegbeyis,Mampongse",-,-,-,-,-,GAMA-SWP,On-going,,,,,,,,,,,,,,,,
227.   ,Gravelling Works at Naa Atobia Street – Ablekuma North (Chainage 0+000-0+400 ),Sabon Zongo,Messrs Glarenn Enterprise,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"49,531.00",Road Fund,Completed,,,,,,,,,,,,,,,,
228.   ,Surfacing Works along Hyde Link 1 ( Chainage 0+000-0+150),Sabon Zongo,Messrs Amanland Company Limited,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"49,918.00",Road Fund,Completed,,,,,,,,,,,,,,,,
229.   ,Rehabilitation of Liberty / Katamanto Roads and alley Paving in Swalaba / Nurses Quarters Road,Sabon Zongo,Messrs seer Ltd,Metro Roads Department,"Wednesday, August 12, 2020",3 Months,"2,109,389.93",Road Fund,Completed,,,,,,,,,,,,,,,,
230.   ,Surfacing Works along Hyde Link 1 ( Chainage 0+000-0+150 ) Sabon Zongo – Ablekuma Central,Sabon Zongo,Messrs Amanland Company Limited,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"49,918.00",Road Fund,Completed,,,,,,,,,,,,,,,,
231.   ,Surfacing of ST. Thomas Street  ( Chainage 0+000-0+150 ) Sabon Zongo – Ablekuma Central,Dansoman,Messrs Amanland Company Limited,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"40,268.00",Road Fund,Completed,,,,,,,,,,,,,,,,
232.   ,Surfacing Works along Hyde Link 2 ( Chainage 0+000-0+195 ),Sabon Zongo,Messrs Amanland Company Limited,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"49,327.05",Road Fund,Completed,,,,,,,,,,,,,,,,
233.   ,Surfacing of ST. Thomas Street  ( Chainage 0+150-0+300 ) Sabon Zongo – Ablekuma Central,Ayawaso West,Messrs Amanland Company Limited,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"40,268.00",Road Fund,Completed,,,,,,,,,,,,,,,,
234.   ,Gravelling Works on 5th Damba Street – Ablekuma South (Chainage 0+000-0+375),Sabon Zongo,Messrs Umar Babi Enterprise,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"46,973.00",Road Fund,Completed,,,,,,,,,,,,,,,,
235.   ,Surfacing Works along Hyde Link 2 ( Chainage 0+195-0+390 ),Sabon Zongo,Messrs Amanland Company Limited,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"49,327.05",Road Fund,Completed,,,,,,,,,,,,,,,,
236.   ,Gravelling Works on Otinshie Road (Chainage 0+600-0+900) – Ayawaso West Wuogon,Sabon Zongo,Messrs Rozarre Limited / Unisecurities Asset Management,Metro Roads Department,"Thursday, August 13, 2020",3 Months,"49,715.00",Road Fund,Completed,,,,,,,,,,,,,,,,
237.   ,Gravelling Works on Heaven Gate Road ( Chainage 0+000-0+250) – Ayawaso West Wuogon,Ayawaso West,Messrs Rozarre Limited / Unisecurities Asset Management,Metro Roads Department,"Thursday, August 13, 2020",3 Months,"43,043.00",Road Fund,Completed,,,,,,,,,,,,,,,,
238.   ,Gravelling Works on Otinshie Road (Chainage 0+300-0+600) – Ayawaso West Wuogon,Ayawaso West,Messrs Rozarre Limited / Unisecurities Asset Management,Metro Roads Department,"Thursday, August 13, 2020",3 Months,"49,715.00",Road Fund,Completed,,,,,,,,,,,,,,,,
239.   ,Supply and Fixing of Metal Grating on drains along Pagan Road,Accra,Messrs Deesheni Enterprise LTD,Metro Roads Department,"Thursday, May 13, 2010",3 Months,"25,000.00",Road Fund,Completed,,,,,,,,,,,,,,,,
240.   ,Gravelling Works along IPS/Mempeasem link 2 Ayawaso West Wuogon (Chainage 0+000-0+200),IPS/Mempeasem link 2 Ayawaso West Wuogon,Messrs Amanland Company Limited,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"20,305.00",Road Fund,Completed,,,,,,,,,,,,,,,,
241.   ,"Construction of Concrete speed Hump At Airport at Good Shepherd, Kaakatsofa Street and NMA Link",Airport,Messrs Kin Aimaz Company Limited,Metro Roads Department,"Sunday, November 13, 2011",3 Months,"49,883.90",Road Fund,Completed,,,,,,,,,,,,,,,,
242.   ,Construction of Concrete Speed Humps at Gbedo Street Market Street Elephant walk Street & Obutu street.,Mempeasem,M/S Ernma Ventures,Metro Roads Department,"Friday, September 13, 2002",3 Months,"47,005.00",Road Fund,Completed,,,,,,,,,,,,,,,,
243.   ,Construction of 0.60M U-Drains along Mempeasem link Road (Chainage 0+170-0+340),Mempeasem,Messrs Ernma Ventures,Metro Roads Department,"Friday, September 13, 2002",3 Months,"47,222.99",Road Fund,Completed,,,,,,,,,,,,,,,,
244.   ,Gravelling of Works along IPS/Mempeasem link road-Ayawaso West Wuogon (0+000-0+200),IPS/Mempeasem link road-Ayawaso West Wuogon,Messrs Rozarre Limited,Metro Roads Department,"Thursday, August 13, 2020",3 Months,"20,305.00",Road Fund,Completed,,,,,,,,,,,,,,,,
245.   ,Gravelling Works along Tafo Amon and Extension – Okaikoi South (Chainage 0+900-1+350),Bubuashie,Messrs Kin Aimaz Company Limited,Metro Roads Department,"Thursday, November 13, 2014",3 Months,"49,295.00",Road Fund,Completed,,,,,,,,,,,,,,,,
246.   ,Surfacing Works on Mantseakwatia Street (Chainage 0+000-0+190),Kaneshie,Messrs Unicorn Universal Company Limited,Metro Roads Department,"Wednesday, November 13, 2013",3 Months,"49,166.80",Road Fund,Completed,,,,,,,,,,,,,,,,
247.   ,Surfacing Works on Nii Akwatia Street Behind Kaneshie police Post (Chainage 0+000-0+190),Kaneshie,Messrs Benfipiah Company Ltd,Metro Roads Department,"Friday, March 13, 2026",3 Months,"49,166.80",Road Fund,Completed,,,,,,,,,,,,,,,,
248.   ,Surfacing Works on Winneba Road – Ablekuma South (CH. 0+000-0+160),Dansoman,Messrs Benfipiah Company Ltd,Metro Roads Department,"Friday, March 13, 2026",3 Months,"49,457.20",Road Fund,Completed,,,,,,,,,,,,,,,,
249.   ,Gravelling Works on Old Winneba Road Ablekuma South ( CH. 0+000-0+500),Dansoman,Messrs Movavi Ltd,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"44,225.00",Road Fund,Completed,,,,,,,,,,,,,,,,
250.   ,Surfacing Works on Winneba Road – Ablekuma South (CH. 0+480-0+640,Dansoman,Messrs Movavi Ltd,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"49,457.20",Road Fund,Completed,,,,,,,,,,,,,,,,
251.   ,Surfacing Works on Winneba Road – Ablekuma South (CH. 0+160-0+320),Dansoman,Messrs Movavi Ltd,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"49,457.20",Road Fund,Completed,,,,,,,,,,,,,,,,
252.   ,Landscaping of Exhibition Roundabout on Dansoman High street,Dansoman,Messrs Movavi Ltd,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"21,505.95",Road Fund,Completed,,,,,,,,,,,,,,,,
253.   ,Surfacing Works on Winneba Road – Ablekuma South (CH. 0+320-0+480),Dansoman,Messrs Anointing Flower Center,Metro Roads Department,"Tuesday, October 13, 2015",3 Months,"49,457.20",Road Fund,Completed,,,,,,,,,,,,,,,,
254.   ,Provision of Security Lights at the Tuesday Market Mamprobi in the Ablekuma South Sub Metro,Mamprobi,Messrs Movavi Ltd,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"2,650.19",IGF,Completed,,,,,,,,,,,,,,,,
255.   ,Construction of 1.8 M Pipe Culvert at Alogboshie Okaikoi North Phase IV,Alogboshie,Messrs Gyepat Enterprise,Metro Roads Department,"Sunday, November 11, 2018",3 Months,"49,946.90",Road Fund,Completed,,,,,,,,,,,,,,,,
256.   ,Gravelling works on Otinshie Road (Chainage 0+000-0+300)-Ayawaso West Wuogon,Ayawaso West,Messrs Grace Ghana Limited,Metro Roads Department,"Monday, August 14, 2006",3 Months,"49,715.00",Road Fund,Completed,,,,,,,,,,,,,,,,
257.   ,Construction of 0.6M U Drain along Prempeh Street RHS – Ablekuma North (Chainage 0+880-1+050),Ablekuma North,Messrs Rozarre Limited/Unisecurities Asset Management,Metro Roads Department,"Thursday, August 13, 2020",3 Months,"48,087.35",Road Fund,Completed,,,,,,,,,,,,,,,,
258.   ,Gravelling works on Kusia Lane (CH 0+300-0+600),East Legon,Messrs O.K Willie Enterprise Limited,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"47,005.00",Road Fund,Completed,,,,,,,,,,,,,,,,
259.   ,Gravelling work on Pear Street – East Legon (CH.0+000-222),East Legon,Messrs Samjowa Company Limited,Metro Roads Department,"Friday, September 13, 2002",3 Months,"40,499.25",Roads Fund,Completed,,,,,,,,,,,,,,,,
260.   ,Gravelling works on Oak Avenue and Link Otinshie East Legon (0.24),East Legon,Messrs Mustek Engineering Limited,Metro Roads Department,"Thursday, August 13, 2009",3 Months,"22,686.42",Roads Fund,Completed,,,,,,,,,,,,,,,,
261.   ,Landscaping of Apenkwa Interchange – Phase – II,Okai Koi,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, August 13, 2001",3 Months,"48,899.33",Road Fund,Completed,,,,,,,,,,,,,,,,
262.   ,Construction of 0.6M U Drains along Dzanman Close – Ablekuma Center RHS (0+000-0+340),Ablekuma Central,Messrs Anointing Flower Centre,Metro Roads Department,"Saturday, October 13, 2001",3 Months,"48,465.35",Road Fund,Completed,,,,,,,,,,,,,,,,
263.   ,Construction of 0.6M U Drain along Prempeh Street RHS – Ablekuma North (Chainage 0+880-1+050),Ablekuma North,Messrs Core Construction Limited,Metro Roads Department,"Wednesday, December 13, 2017",3 Months,"48,087.35",Road Fund,Completed,,,,,,,,,,,,,,,,
264.   ,"Construction of 1.20 M Pipe Culvert on Prempeh Street, Awoshie – Ablekuma North",Awoshie,Messrs Core Construction Limited,Metro Roads Department,"Wednesday, December 13, 2017",3 Months,"28,954.00",Road Fund,Completed,,,,,,,,,,,,,,,,
265.   ,Drainage Works along Kwashie Ahiaku Street RHS (Chainage 0+125-0+305) –Ablekuma North,Darkuman,Messrs Fashad Enterprise,Metro Roads Department,"Saturday, September 13, 1930",3 Months,"49,856.81",Road Fund,Completed,,,,,,,,,,,,,,,,
266.   ,Construction of 0.9M Pipe Culvert Across Achimota – GIMPA,Achimota,Messrs Core Construction Limited,Metro Roads Department,"Wednesday, December 13, 2017",3 Months,"49,214.00",Road Fund,Completed,,,,,,,,,,,,,,,,
267.   ,Upgrading of Spintex road and East Legon Area Roads and Culverts on Spintex Road,Ayawaso West,M/S Ussauya (Gh) Ltd,Metro Roads Department,"Thursday, August 09, 2018","Thursday, July 12, 2018","38,429,462.33",Road Fund,Completed,,,,,,,,,,,,,,,,
268.   ,Rehabilitation of Dansoman Main Road and Selected Collectors,Okaikoi South,M/P PMC Ltd,Metro Roads Department,"Wednesday, September 09, 2015","Saturday, September 12, 2015","11,452,614.59",Road Fund,Completed,,,,,,,,,,,,,,,,
269.   ,Rehabilitation of Selected Roads in Abbosey Okai Lot 1,Ablekuma Central,M/S Ragja Ltd,Metro Roads Department,"Tuesday, November 10, 2020","Monday, October 11, 2021","1,850,000.00",Road Fund,Completed,,,,,,,,,,,,,,,,
270.   ,Rehabilitation of Selected Roads in Abbosey Okai Lot 2,Ablekuma Central,M/S Salledeen Co. Ltd,Metro Roads Department,"Tuesday, November 10, 2020","Tuesday, December 11, 2029","1,585,000,00",Road Fund,Completed,,,,,,,,,,,,,,,,
271.   ,Construction of Vehicular Access On  Nima Stream – New Town,Ayawaso East,Messrs N. Dini Ghana Limited,Metro Roads Department,"Tuesday, January 11, 2005","Friday, April 11, 2014","47,747.78",Road Fund,Completed,,,,,,,,,,,,,,,,
272.   ,Construction of Lay-by along Mallam Road,Odorkor,Messrs N Plan Co. Ltd.,Metro Roads Department,,4 Months,"35,561.30",Road Fund,Completed,,,,,,,,,,,,,,,,
273.   ,Gravelling Works on 8th Adotey Obour Road – Ablekuma Central (0.20),Adotey Obour Road,Messrs Frank Pardison Agency,Metro Roads Department,-,4 Months,"34,007.50",Road Fund,Completed,,,,,,,,,,,,,,,,
274.   ,Surfacing of Wood Lane (CH 0+250-0+500),Nmlenmlente Electoral Area,Messrs Mohamsah Ltd,Metro Roads Department,,,"37,499.95",Road Fund,Completed,,,,,,,,,,,,,,,,
275.   ,Surfacing Works on NMA Link-Okaikoi South,North Kaneshie,Messrs Benfipiah company Ltd,Metro Roads Department,"Sunday, October 12, 2025","Wednesday, February 13, 2008","48,383.49",Road Fund,Completed,,,,,,,,,,,,,,,,
276.   ,Surfacing Works on Katatofa Street-Okaikoi South (CH 0+000-0+200),North Kaneshie,Messrs Benfipiah Company Ltd,Metro Roads Department,"Sunday, October 12, 2025","Wednesday, February 13, 2008","48,383.49",Road Fund,Completed,,,,,,,,,,,,,,,,
277.   ,Surfacing Works on Tambu Link Road (Chainage 0+000-0+150),East Legon,Messrs Vicdor resolute Ltd.,Metro Roads Department,"Monday, October 12, 2009","Friday, January 13, 2023","49,770.58",Road Fund,Completed,,,,,,,,,,,,,,,,
278.   ,Rehabilitation of Liberty / Kantamanto Roads and Alley Paving in Swalaba / Nurses Quarters Road,Accra,Messrs Seer Ltd.,Metro Roads Department,"Wednesday, August 12, 2020","Sunday, April 13, 2003","2,109,389.93",Road Fund,Completed,,,,,,,,,,,,,,,,
279.   ,Gravelling Works on Kakatsofa Street and Mango Link (0.64km),Bubuashie,Messrs Bertlert Investment Ltd,Metro Roads Department,,,"48,036.65",Road Fund,Completed,,,,,,,,,,,,,,,,
280.   ,Surfacing Works on NMA Street (100) and NMA Link (45M) – Okaikoi south,North Kaneshie,Benfipiah company Ltd,Metro Roads Department,"Sunday, October 12, 2025","Tuesday, February 12, 2008","31,194.91",Road Fund,Completed,,,,,,,,,,,,,,,,
281.   ,Gravelling Works on Rev. Sowah Road-La (0.30Km),La,Messrs 1st World Company Ltd,Metro Roads Department,"Wednesday, October 12, 2022","Thursday, January 13, 2022","49,924.54",Road Fund,Completed,,,,,,,,,,,,,,,,
282.   ,Gravelling works on Kum Hotel Road (chainage 0+000-0+500),Okaikoi North,Messrs Mahaza company Ltd,Metro Roads Department,"Monday, September 11, 2017","Friday, December 11, 1931","48,650.00",Road Fund,Completed,,,,,,,,,,,,,,,,
283.   ,Surfacing works on Tesano Royal Garden Link Road (CH. 0+250-0+500),Tesano,Messrs Mustek Engineering Ltd.,Metro Roads Department,"Saturday, January 13, 2018","Friday, April 13, 2001","49,400.26",Road Fund,Completed,,,,,,,,,,,,,,,,
284.   ,Gravelling Works on Tambu Link Road- East Legon (0.45KM),East Legon,Messrs Vicdor resolute Ltd.,Metro Roads Department,"Monday, October 12, 2009","Tuesday, February 13, 2007","49,377.50",Road Fund,Completed,,,,,,,,,,,,,,,,
285.   ,Gravelling Works on Lantey George Street and Lomo Adamu Cresent (0.53km)-La,La,Messrs Veeaksak Enterprise,Metro Roads Department,"Thursday, September 12, 2019","Monday, January 13, 2003","49,409.80",Road Fund,Completed,,,,,,,,,,,,,,,,
286.   ,Surfacing Works on Good Shepherd Link Road-Okaikoi South (CH 0+000-0+217),North Kaneshie,Messrs Benfipiah Company Ltd,Metro Roads Department,"Sunday, October 12, 2025","Wednesday, February 13, 2008","48,383.49",Road Fund,Completed,,,,,,,,,,,,,,,,
287.   ,Gravelling works on Tsotso kotei Link and Charles Oku Street-Atico (0.58km),Atiko,Messrs Admeds Enterprise,Metro Roads Department,"Saturday, November 10, 2001","Wednesday, February 11, 2015","44,618.72",Road Fund,Completed,,,,,,,,,,,,,,,,
288.   ,Gravelling Works on Sunflower Street (Chainage 0+500-1+000),Darkuman,Messrs Quakor Ltd.,Metro Roads Department,-,-,"48,662.86",Road Fund,Completed,,,,,,,,,,,,,,,,
289.   ,Gravelling Works on Sunflower Street (Chainage 0+000-0+500),Darkuman,Messrs Quakor Ltd.,Metro Roads Department,-,-,"48,662.86",Road Fund,Completed,,,,,,,,,,,,,,,,
290.   ,Gravelling of Kay – Billie – Klaer Link Road (CH. 0+300-0+600),East Legon,Messrs Mahajara Ventures,Metro Roads Department,-,-,"48,370.31",Road Fund,Completed,,,,,,,,,,,,,,,,
291.   ,Surfacing works on Ghana Pentecostal Church Road – East Legon (CH. 0+180-0+360),East Legon,Messrs Ben Tota Company Ltd,Metro Roads Department,"Thursday, September 12, 2013","Sunday, December 12, 2027","48,430.05",Road Fund,Completed,,,,,,,,,,,,,,,,
292.   ,Surfacing works on Ghana Pentecostal Church Road – East Legon (CH. 0+000-0+180),East Legon,Messrs Ben Tota Company Ltd,Metro Roads Department,"Thursday, September 12, 2013","Sunday, December 12, 2027","48,430.05",Road Fund,Completed,,,,,,,,,,,,,,,,
293.   ,Construction of Walkway along Edualdo Modulana,Ablekuma Central,Messrs Sungsuma Limited,Metro Roads Department,"Sunday, May 11, 1930",4 Months,"46,919.18",Road Fund,Completed,,,,,,,,,,,,,,,,
294.   ,Drainage Works along Ontinshie Link Road LHS (CH 0+000+0+200),East Legon,Messrs Deen Construction and Trading Limited,Metro Roads Department,"Tuesday, October 12, 2010",4 Months,"49,922.35",Road Fund,Completed,,,,,,,,,,,,,,,,
295.   ,Resealing of Kpakpo Mankralo Road (Chainage 0+400-0+800)-Ablekuma South,Mataheko,Messrs Perjas Company Ltd,Metro Roads Department,-,1 Month,"48,229.44",Road Fund,Completed,,,,,,,,,,,,,,,,
296.   ,Resealing Of Gbegbe Street-Dansoman (Chainage 0+000-0+460)- Ablekuma South,Dansoman,Messrs Galoni Ventures,Metro Roads Department,-,1 Month,"49,219.33",Road Fund,Completed,,,,,,,,,,,,,,,,
297.   ,Gravelling Of 11th Adote Obour Street-Ablekuma Central(Chainage 0+000-0+400),Zamrama Line,Messrs Galoni Ventures,Metro Roads Department,-,1 Month,"49,637.00",Road Fund,Completed,,,,,,,,,,,,,,,,
298.   ,Gravelling of 10th Adote Obour Street-Ablekuma Central(Chainage 0+000-0+400),Zamrama Line,Messrs Kack Forty Limited,Metro Roads Department,-,1 Month,"49,637.00",Road Fund,Completed,,,,,,,,,,,,,,,,
299.   ,Gravelling Of  Alhaji Avenue (Chainage 0+000-0+255)-Ablekuma Central,Mataheko,M/S Dantoz Enterprise,Metro Roads Department,-,1 Month,"34,192.40",Road Fund,Completed,,,,,,,,,,,,,,,,
300.   ,Gravelling Of 12th Adote Obour Street-Ablekuma Central (Chainage 0+000-0+400,Zamrama Line,M/S Seer Limited,Metro Roads Department,-,1 Month,"49,722.80",Road Fund,Completed,,,,,,,,,,,,,,,,
301.   ,Surfacing Of Nii Pkankpan Street(Chainage 0+000-0+200),Ablekuma North,M/S QJM Enterprise,Metro Roads Department,-,1 Month,"49,791.10",Road Fund,Completed,,,,,,,,,,,,,,,,
302.   ,Surfacing Of Nii Namoale Street Street(Chainage 0+000-0+160),Ablekuma North,M/S QJNM Enterprise,Metro Roads Department,-,1 Month,"45,547.61",Road Fund,Completed,,,,,,,,,,,,,,,,
303.   ,Surfacing Of Nii Namoale Street Street(Chainage 0+000-0+200),Ablekuma North,Messrs Abasa General Enterprise Limited,Metro Roads Department,-,1 Month,"49,964.00",Road Fund,Completed,,,,,,,,,,,,,,,,
304.   ,Installation Of Pedestrian Guard Rail,Lapaz,Messrs G.D. Mercy Investment Limited,Metro Roads Department,-,1 Month,"49,878.00",Road Fund,Completed,,,,,,,,,,,,,,,,
305.   ,Gravelling Of Tractor Street-(chainage 0+800-1+200)-Okaikoi North,Mamprobi –Alhaji Area,Messrs Del Ronna company Limited,Metro Roads Department,-,1 Month,"49,262.00",Road Fund,Completed,,,,,,,,,,,,,,,,
306.   ,Resealing Of Kpakpo Mankralo Road (Chainage 0+000-0+400)-Ablekuma South,Mataheko,Messrs Del Ronna company Limited,Metro Roads Department,-,1 Month,"49,977.22",Road Fund,Completed,,,,,,,,,,,,,,,,
307.   ,Construction Of 0.6M U Drains Along Guggisberg Extension  LHS (Chainage 4+200-4+375)Dansoman,Dansoman,Messrs Del Ronna company Limited,Metro Roads Department,-,1 Month,"49,794.77",Road Fund,Completed,,,,,,,,,,,,,,,,
308.   ,Construction Of 0.6 M U Drain Along Guggisberg Extension LHS Chainage [4+200-4+375] Dansoman,Dansoman,Messrs Del Ronna company Limited,Metro Roads Department,-,1 Month,"49,794.77",Road Fund,Completed,,,,,,,,,,,,,,,,
309.   ,Gravelling Of Market Lane –Kum Hotel Area Roads (Chainage 0+500-1+000),Okaikoi North,Messrs Del Ronna company Limited,Metro Roads Department,-,1 Month,"49,666.25",Road Fund,Completed,,,,,,,,,,,,,,,,
310.   ,Installation of Pedestrian Guardrail,Airport By Pass Shangrila,Messrs Aakalifa’s Company Limited,Metro Roads Department,-,1 Month,"49,954.60",Road Fund,Completed,,,,,,,,,,,,,,,,
311.   ,Installation of Pedestrian Guardrail,Nsawam Road Joy FM and Boomerang,Messrs MYK Construction Limited,Metro Roads Department,-,1 Month,"49,878.00",Road Fund,Completed,,,,,,,,,,,,,,,,
312.   ,Installation of Pedestrian Guardrail,Akuaffo DVLA Mart,Messrs Wam Hills Enterprise,Metro Roads Department,-,1 Month,"49,671.80",Road Fund,Completed,,,,,,,,,,,,,,,,
313.   ,"Routine Maintenance Along Abossey Okai Road: 800M × 0.9M × 0.7M, 800M × 0.6M × 0.6M (RHS)",Accra,Messrs Abasa General Enterprise,Metro Roads Department,-,1 Month,"6,817.00",IGF,Completed,,,,,,,,,,,,,,,,
314.   ,"Routine Maintenance Along Abossey Okai Road: 800M × 0.9M × 0.7M, 800M × 0.6M × 0.6M (RHS) For The Month Of May",Abossey Okai,Messrs Hawai Agency Limited,Metro Roads Department,-,1 Month,"6,817.00",IGF,Completed,,,,,,,,,,,,,,,,
315.   ,"Routine Maintenance Along Abossey Okai Road: 800M × 0.9M × 0.7M, 800M × 0.6M × 0.6M (RHS) For The Month Of April",Abossey Okai,Messrs Hawai Agency Limited,Metro Roads Department,-,1 Month,"6,817.00",IGF,Completed,,,,,,,,,,,,,,,,
316.   ,Gravelling Of IVY Street Dansoman – Ablekuma South (Chainage 0+000-0+425),Ablekuma South,Messrs Saahene & Sons Trading & Const. Company Ltd,Metro Roads Department,-,1 Month,"49,492.80",Road Fund,Completed,,,,,,,,,,,,,,,,
317.   ,Surfacing Works  on Cotton Street-East Legon (Chainage 0+150+300),East Legon,Messrs Solid Cast Enterprise,Metro Roads Department,-,1 Month,"41,980.87",IGF,Completed,,,,,,,,,,,,,,,,
318.   ,Road Surfacing Works  On Carrot Streets-East Legon (Chainage 0+160-0+310),Ayawaso West,Messrs Solid Cast Enterprise,Metro Roads Department,-,1 Month,"44,558.00",IGF,Completed,,,,,,,,,,,,,,,,
319.   ,Road Surfacing Works  On Carrot Streets-East Legon (Chainage 0+000-0+150),Ayawaso West,Messrs Finger of God Construction Limited,Metro Roads Department,-,1 Month,"42,434.00",IGF,Completed,,,,,,,,,,,,,,,,
320.   ,Gravelling Works On Nii Kwashiefio Street (0.40KM),East Legon,Messrs Janicom Limited,Metro Roads Department,-,1 Month,"48,455.00",IGF,Completed,,,,,,,,,,,,,,,,
321.   ,Gravelling Works On Nii Kwashiefio Street (0.15KM) and Nii Kwashiefio link (0.25km),East Legon,Messrs Bachest Ghana Limited,Metro Roads Department,"Wednesday, May 14, 2014",3 Months,"48,455.00",IGF,Completed,,,,,,,,,,,,,,,,
322.   ,Road Surfacing Works  On Carrot Streets-East Legon (Chainage 0+000-0+160),Ayawaso West,Messrs Salleydeen Company Limited,Metro Roads Department,"Friday, February 14, 2020",3 Months,"44,558.00",IGF,Completed,,,,,,,,,,,,,,,,
323.   ,Gravelling Works Along Bill Crescent-East Legon (Chainage 0+000-0+400),East Legon,Messrs Salleydeen Company Limited,Metro Roads Department,"Friday, February 14, 2020",3 Months,"48,464.00",IGF,Completed,,,,,,,,,,,,,,,,
